name,score,document_length,url_count,cobalt,electronic material,electronics,fine chemical,fuel cell,gallium,gold,metal,pharmaceuticals,plating,platinum,polymers,silver,specialty chemical,steel,tantalum,tungsten
Chengdu Huaze Cobalt & Nickl Mtrl Co Ltd,0.843461746033235,4730,9,57,0,0,0,0,0,6,29,0,0,0,0,3,0,16,0,0
Hyundai Corporation,0.24438225751709974,16264,12,0,0,7,0,28,0,1,1,0,0,0,0,4,0,16,0,0
Nico Steel Holdings Limited,0.23445400999776853,1130,8,0,0,2,0,0,0,0,14,0,7,0,0,0,0,43,0,0
ALCONIX CORPORATION,0.21511059694191245,3478,8,1,1,2,0,0,2,2,55,0,2,0,0,0,0,5,0,4
Loco Hong Kong Holdings Ltd,0.19455751973911092,3338,8,1,0,0,0,0,0,8,33,0,0,0,0,32,0,0,0,1
Scope Metals Group Ltd,0.1586576458434964,5053,12,0,0,8,0,0,0,0,104,0,0,0,0,0,0,61,0,14
SATO SHO-JI CORPORATION,0.15030206288622924,3960,7,0,5,3,0,0,0,0,28,0,0,0,0,0,0,31,0,0
Chengtun Mining Group Co Ltd,0.1483327363627835,4207,7,0,0,0,0,0,0,10,21,0,0,0,0,6,0,18,0,6
China Daye Non Ferrous Metals Mining Ltd,0.05272397851935717,3681,8,0,0,0,0,0,0,13,66,0,0,0,0,10,0,1,0,0
Enerhomashspetsstal' PAT,0.05166244783990539,3968,8,0,0,0,0,0,0,2,20,0,0,0,1,0,2,42,0,0
Central Vietnam Metal Corp,0.04438436098270286,4507,9,0,0,2,1,0,0,1,148,0,0,0,0,0,2,115,0,0
"Shanxi Sanwei Group Co.,Ltd",0.03965506836174466,2995,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,2,0,0
Pantech Group Holdings Berhad,0.034700688125328484,7663,15,0,0,0,0,0,0,1,10,0,0,4,0,0,0,95,0,0
Kordellos Ch. Bros SA,0.033686652301850674,3359,8,0,0,1,0,0,0,1,28,0,0,0,0,0,0,42,1,0
GS Global Corp,0.03181339113273505,2670,8,0,0,1,2,0,0,0,6,0,0,0,0,0,0,69,0,0
"Minmetals Development Co., Ltd.",0.029050034868406797,3320,11,0,0,3,0,0,0,0,104,0,0,0,0,0,0,45,0,2
Ramkrishna Forgings Limited,0.026881375256831805,5523,5,0,0,0,0,0,0,8,5,0,0,0,1,2,0,8,0,0
Bharat Forge Ltd,0.025919256604071187,5663,9,0,0,1,0,0,0,7,17,0,0,2,0,0,0,20,0,0
Hubei Yangfan Holding Co Ltd,0.025416142227951025,3677,7,0,0,0,0,0,0,1,10,1,0,0,0,0,0,19,0,0
MM Forgings Ltd,0.022357897655632175,3347,7,1,0,1,0,0,0,5,4,0,0,0,0,0,0,32,0,0
AMD Group Investment JSC,0.021562928760948823,5672,5,0,0,3,0,0,0,6,7,0,0,0,0,6,0,3,0,0
Soc Son Development Investment JSC,0.019190505145405934,7067,8,0,0,0,0,0,0,10,12,0,0,0,0,10,0,21,0,0
Cityon Systems (India) Ltd,0.018021969259676533,3900,6,0,0,1,0,0,0,9,0,0,0,0,0,3,0,5,0,0
KANEMATSU CORPORATION,0.017979302110446047,4890,8,0,0,19,0,0,0,0,6,0,0,0,0,1,0,30,0,0
Aseem Global Ltd,0.01721421351381144,3408,8,1,0,0,0,0,0,4,18,0,0,0,0,2,0,2,0,0
UEX Ltd,0.016819553453183242,1904,9,1,0,0,0,0,0,0,19,0,0,0,0,0,0,42,0,0
Guanfu Holdings Co Ltd,0.01644167279028126,3570,7,0,0,1,0,0,0,1,4,0,0,1,0,0,0,3,0,0
A. M. Castle & Co,0.014313328017690993,6922,9,0,0,2,2,0,0,0,78,0,0,0,0,0,0,38,0,0
Son Ha Sai Gon JSC,0.01430030616970896,6580,9,0,0,0,0,0,0,7,23,0,0,0,0,6,0,20,0,0
"Olympic Steel, Inc.",0.012518018028389762,3360,10,0,0,0,0,0,0,0,32,0,0,1,0,0,0,115,0,0
Shinsho Corp,0.012031098215385425,1611,8,0,0,6,0,0,0,0,9,0,0,0,0,0,0,57,0,0
Hochiminh City Metal Corp,0.01182540916336704,5586,9,0,0,0,0,0,0,4,103,0,0,0,0,3,0,75,0,0
Shandong Haitian Linkall Co Ltd,0.009968208047332094,6261,9,0,0,4,0,0,0,9,9,0,0,0,0,1,0,5,0,0
Zhejiang Dongliang New Material Co Ltd,0.009657507850122276,4116,8,0,0,10,0,0,0,3,16,0,0,0,0,0,0,0,0,0
Hariyana Ship Breakers Ltd,0.009533223818533177,4499,7,0,0,1,0,0,0,4,6,0,0,0,0,2,0,9,0,0
Spectra Industries Ltd,0.009465178824703296,5424,7,0,0,1,0,0,0,9,3,0,0,0,0,2,0,9,0,0
Yongxing Special Stainless Steel Co Ltd,0.008648823628980524,5127,14,0,0,2,0,0,0,1,2,0,2,0,0,0,0,215,0,0
HG Metal Manufacturing Ltd.,0.008547814004808661,2616,11,0,0,4,0,0,0,1,64,0,0,0,0,0,0,80,0,0
Shree Ganesh Forgings Ltd,0.008060395232548739,4645,5,0,0,0,0,0,0,8,4,0,0,0,0,2,0,12,0,0
Jiangsu Aucksun Co Ltd,0.007733382423559291,4164,8,0,0,7,0,0,0,2,17,0,0,0,0,0,0,34,0,0
Omansh Enterprises Ltd,0.007704424384654368,4540,5,0,0,1,0,0,0,8,0,0,0,0,0,2,0,6,0,0
Pradeep Metals Ltd,0.00722437555078681,4574,11,0,0,0,0,0,0,4,146,0,0,0,0,2,0,11,0,0
Best Steel Logistics Ltd,0.006905870572415393,5190,10,0,0,1,0,0,0,4,0,0,0,0,0,2,0,140,0,0
Hexa Tradex Ltd,0.006706459020237621,5337,10,0,0,0,0,0,0,8,4,0,0,0,0,2,0,11,0,0
Posco Daewoo Corp,0.005956145186883014,3322,7,0,0,4,0,0,0,2,12,0,0,0,0,0,0,63,0,0
"JIANGSU SHAGANG CO.,LTD.",0.0057988686582020185,10584,13,0,0,5,0,0,0,6,20,0,0,0,0,0,0,543,0,0
Hong Kong Shanghai Alliance Holdings Ltd,0.005209689017547507,5657,8,0,0,4,0,0,0,1,9,0,0,0,0,0,0,57,0,0
Burwill Holdings Limited,0.004784621965141363,3749,7,0,0,4,0,0,0,0,17,0,0,0,0,0,0,43,0,0
Kalyani Steels Limited,0.004456644402590557,3278,9,0,0,0,0,0,0,7,4,0,0,0,0,0,0,193,0,0
Reliance Steel & Aluminum Co,0.0043738833113543376,41885,15,0,0,11,0,0,0,14,1145,0,0,0,0,0,0,1416,0,0
Lesha Industries Ltd,0.0029801058265800894,4014,7,0,0,2,0,0,0,8,2,0,0,0,0,0,0,15,0,0
Ushdev International Ltd.,0.0028461180011457466,4136,6,0,0,1,0,0,0,4,34,0,0,0,0,0,0,26,0,0
"MOLITEC STEEL CO., LTD.",0.002670772223460746,3303,9,0,0,0,0,0,0,3,9,0,0,0,0,0,0,119,0,0
Drozapol-Profil SA,0.0023967702632785902,2239,7,0,0,0,0,0,0,3,24,0,0,0,0,0,0,40,0,0
Baoshan Iron & Steel Co Ltd,0.0023601754703319005,2854,9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,212,0,0
Porn Prom Metal Public Company Limited,0.0021294059555874902,3002,9,0,0,2,0,0,0,1,117,0,0,0,0,0,0,17,0,0
Kloeckner & Co SE,0.002062566261577426,10841,12,0,0,0,0,0,0,8,112,0,0,0,0,0,0,212,0,0
Konsorcjum Stali S.A.,0.0017572305181934034,4479,6,0,0,2,0,0,0,0,41,0,0,0,0,0,0,35,0,0
CANOX CORPORATION,0.0016695256596895949,3316,9,0,0,0,0,0,0,2,30,0,0,0,0,0,0,136,0,0
China Metal Resources Utilization Ltd,0.0015944219322736174,4149,9,0,0,1,0,0,0,3,67,0,0,0,0,0,0,0,0,0
Nippon Steel & Sumikin Bussan Corp,0.0015287004428545462,5546,10,0,0,0,0,0,0,0,16,0,0,0,0,0,0,241,0,0
Tira Austenite Tbk PT,0.0013554943222640137,4446,9,0,0,1,0,0,0,2,6,0,0,0,0,0,0,39,0,0
E&M Co Ltd,0.0013168817394977584,2302,8,0,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0
Devhari Exports (India) Ltd,0.001211924510068539,3304,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0
Empire Resources Inc,0.0011420854439610573,3116,4,0,0,1,0,0,0,0,7,0,0,0,0,0,0,6,0,0
"ZHONGYUAN SPECIAL STEEL CO.,LTD.",0.0011018998944367544,2013,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,61,0,0
Brodomerkur dd,0.001072900075421828,2610,5,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"ONOKEN CO., LTD.",0.0010670388242947804,3333,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,61,0,0
Fujian Start Group Co Ltd,0.0010318156101972985,2747,3,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0
BOWIM SA,0.0009443416957740732,4593,8,0,0,0,0,0,0,3,1,0,0,0,0,0,0,29,0,0
"HANWA CO., LTD.",0.0009392478276959112,4472,10,0,0,0,0,0,0,0,38,0,0,0,0,0,0,115,0,0
Rich Asia Corporation PCL,0.0009073630436585592,5354,12,0,0,0,0,0,0,1,5,0,0,0,0,0,0,85,0,0
Atta Global Group Bhd,0.0008357847602380313,12819,10,0,0,0,0,0,0,8,49,0,0,0,0,0,0,14,0,0
Jacquet Metal Service SA,0.000761469975467511,3870,8,0,0,0,0,0,0,2,72,0,0,0,0,0,0,51,0,0
Dasheng Times Cultural Investment Co Ltd,0.0007342040322037951,3914,5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,0
Russel Metals Inc,0.0007210222762414762,8164,12,0,0,0,0,0,0,0,158,0,0,0,0,0,0,149,0,0
Max Metal Corporation PCL,0.0007097267620297695,2891,8,0,0,0,0,0,0,0,55,0,0,0,0,0,0,54,0,0
Marufuji Sheet Piling Co Ltd,0.0006969219667847329,4854,7,0,0,0,0,0,0,2,24,0,0,0,0,0,0,40,0,0
Sahamit Machinery Public Company Limited,0.0006876326466391231,4148,10,0,0,0,0,0,0,1,19,0,0,0,0,0,0,43,0,0
Tycoons Group Enterprise Co Ltd,0.0005928331956070029,3016,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,28,0,0
Asia Enterprises Holding Limited,0.0005412176394935229,4802,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,63,0,0
Engtex Group Berhad,0.0005220091550826257,5595,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,66,0,0
WMT SANA Joint Venture Joint Stock Co,0.00036232692276880337,2070,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0
Tradi SA,0.0003414477170310089,14125,9,0,0,1,0,0,0,1,10,0,0,0,0,0,0,12,0,0
Hyunjin Materials Co Ltd,0.0003232465981892143,3327,6,0,0,0,0,0,0,1,5,0,0,0,0,0,0,4,0,0
Zibao Metals Recycling Holdings Plc,0.0002721460514186983,3819,9,0,0,0,0,0,0,1,127,0,0,0,0,0,0,2,0,0
Incus Investor ASA,0.0002606722640990193,1992,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0
Hashimoto Sogyo Holdings Co Ltd,0.00024703607609469127,3408,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0
Seiwa Chuo Holdings Corp,0.00023787587897687197,2956,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0
Bsi (sa) Limited,0.00022875258745236554,9243,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,73,0,0
CITIC Resources Holdings Limited,0.00021179753589301102,8501,8,0,0,0,0,0,0,2,27,0,0,0,0,0,0,9,0,0
Tehnometal-Vardar AD Skopje,0.00020319591130082892,2876,7,0,0,0,0,0,0,0,54,0,0,0,0,0,0,4,0,0
MRC Global Inc,0.0001992783615904822,10889,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,63,0,0
Tien Bo Group JSC,0.0001509613156927423,2142,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0
Rasa Corporation,0.000128445520783649,2734,6,0,0,0,0,0,0,0,37,0,0,0,0,0,0,4,0,0
Nordwest Handel AG,9.695163395836146e-05,3364,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0
L.B. Foster Co,9.586027593262889e-05,3541,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
Solavina JSC,1.8807648235274372e-05,2588,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0
"Shanghai Material Trading Co., Ltd.",1.7566261782583174e-05,2575,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
China Strategic Holdings Ltd,2.2870422887011124e-06,4206,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
