name,score,document_length,url_count,car,car engine oil,engine,industrial,industrial oil,lubricant,lubricate,oil
MJL Bangladesh Ltd,0.7222412242421192,4643,11,27,9,48,20,0,83,0,107
Castrol India Limited,0.44995119765348934,2925,8,16,1,27,10,0,45,1,72
Gulf Oil Lubricants India Ltd,0.2198849710249753,4981,10,37,1,14,28,0,123,1,233
Jiangsu Gaoke Petrochemical Co Ltd,0.21690951851745677,2068,6,5,0,11,9,3,2,0,83
Tide Water Oil India Ltd,0.2017833443748433,4217,10,11,0,12,14,5,21,0,183
GP Petroleums Ltd,0.19595855546644952,6003,10,14,0,9,23,5,60,0,71
MoresCo Corp,0.1741314291997143,6704,12,26,0,5,1,0,108,2,186
Nestro Petrol a.d. Banja Luka,0.12620623297779418,5018,8,52,0,2,0,1,7,1,22
KenolKobil Ltd,0.11379680545839609,4067,13,65,0,2,3,3,37,0,39
"Idemitsu Kosan Co., Ltd.",0.11240130948998525,7646,12,12,0,17,6,5,45,0,364
Atlantik Petrol Urnlr Tcrt ve SAS,0.0744201540351673,5434,9,23,0,0,1,3,8,0,42
Hardcastle & Waud Manufacturing Co Ltd,0.07147727539331324,3865,11,22,0,0,20,2,46,0,73
Hydrodec Group plc,0.07067282914886294,2322,9,11,0,0,1,2,4,0,104
Ghana Oil Company Limited,0.049466533612592976,4910,13,24,1,14,2,0,24,0,249
OMV Petrol Ofisi AS,0.047625506972803974,3114,8,14,0,2,4,1,14,0,28
Neftemaslozavod OAO (P),0.04264619558579275,4606,8,14,0,2,3,1,4,0,42
S Oil Corp,0.04246528097316406,5642,11,8,0,5,7,2,51,0,352
Rafinerija ulja a.d. Modrica,0.041594002109629144,8039,12,12,0,68,30,1,31,0,336
Shell Pakistan Limited,0.037342419748965835,11574,12,44,1,27,4,0,56,0,230
Eterna Plc,0.023635641687964573,2400,8,13,0,25,5,0,25,0,74
AP Oil International Ltd,0.018786250214805754,1759,8,5,0,19,20,0,55,0,111
Total Nigeria PLC,0.017415467770244657,4355,9,100,0,40,7,0,73,0,39
Fuchs Petrolub SE,0.011385745455615227,2881,10,4,0,15,8,0,45,0,37
Lanka IOC Limited,0.009298979299896391,8402,15,40,0,28,23,0,48,0,208
Conoil Plc,0.009029319751438959,3966,12,19,0,17,14,0,18,0,183
Total Petroleum Ghana,0.008990437727145407,3754,10,46,0,20,0,0,31,0,26
Jordan Petroleum Refinery Company Ltd.,0.008962463299660417,3267,7,4,0,14,9,0,13,0,80
Additives and Petroleum Products JSC,0.007935007410035139,2972,8,9,0,9,8,0,4,0,51
Chevron Corporation,0.007700605846678765,14019,10,46,0,39,25,0,58,0,350
Makpetrol AD Skopje,0.006966070492807984,3580,7,5,0,13,2,0,4,0,59
Bharat Petroleum Corp Ltd,0.006929040984017091,11146,10,70,0,17,59,0,95,0,95
"Phoenix Petroleum Philippines, Inc.",0.006509059343212797,4729,8,28,0,10,16,0,21,0,57
Mobil Oil Nigeria plc,0.00580644888603602,3386,10,16,0,8,3,0,13,0,85
MT Gas JSC,0.005219219153099501,1854,5,10,0,4,3,0,1,0,7
Parkland Fuel Corp,0.005153051325697658,3664,8,6,0,8,3,0,18,0,33
Spanjaard Limited,0.0051394658153301,2307,11,34,0,4,27,0,33,0,2
N1 Hf,0.005105480581256325,2714,9,17,0,4,10,0,4,0,14
"Songwon Industrial Co., Ltd.",0.005080574627772892,2497,10,0,0,4,24,0,4,0,3
Total Kenya Limited,0.004944006900100653,4990,10,167,0,12,13,0,109,0,50
World Fuel Services Corp,0.004903155823304074,4755,9,35,0,13,6,0,8,0,14
China Rerun Chemical Group Ltd,0.004632428576481219,2733,6,8,0,3,21,0,12,0,28
Petronas Dagangan Berhad,0.004271382151171751,8613,13,158,0,12,24,0,70,0,81
Siam Pan Group Public Company Limited,0.00418676351681747,1866,10,0,0,6,0,0,29,0,22
Al Maha Petroleum Products Marketing Co.,0.003926988394797016,6192,11,40,0,11,4,0,25,0,72
Chemtura Corp,0.003895910356101919,4627,10,18,0,5,17,0,15,0,1
Paz Oil Company Ltd,0.003875779558420986,2914,5,5,0,5,5,0,9,0,83
Cosmo Oil Co Ltd,0.003867605122573139,4766,9,6,0,8,10,0,13,0,267
Grupa Lotos SA,0.0036921811422637946,3605,11,32,0,6,5,0,4,0,88
Caltex Australia Limited,0.003524312441678293,5542,8,38,0,6,8,0,15,0,73
PBF Energy Inc,0.003455111253651592,5925,10,55,0,10,0,0,8,0,27
"Nihon Parkerizing Co., Ltd.",0.003393814294141498,4248,12,26,0,4,10,0,27,0,11
Showa Shell Sekiyu KK,0.0031399533554791192,5429,9,8,0,6,9,0,14,0,160
PTT Public Company Limited,0.0031287151731324786,5647,9,22,0,6,12,0,15,0,84
Forte Oil PLC,0.002989468079192486,5342,10,50,0,6,10,0,20,0,241
"SUNAUTAS CO., LTD.",0.002895941720107665,3463,10,51,0,6,1,0,0,0,26
BP Castrol KK,0.002808020395212684,3073,8,15,0,4,2,0,14,0,29
Michang Oil Ind Co Ltd,0.0027394653026320283,3022,9,6,0,2,16,0,23,0,87
Ryazan'nefteprodukt OAO (P),0.0027128917139779152,3417,6,16,0,3,1,0,1,0,6
Neste Oyj,0.002703408200488745,4457,14,16,0,6,1,0,17,0,131
Hanoi Fuel JSC,0.002522478205811824,4277,8,22,0,5,2,0,4,0,33
Southern Waterborne Transport JS Corp,0.0024974868098383575,1915,5,9,0,2,5,0,1,0,6
Slavneft'-Yaroslavnefteorgsintez OAO,0.0023546703254883486,3237,8,12,0,3,6,0,2,0,55
Petrolimex Petrochemical Corporation JSC,0.0021617683274369223,5478,10,32,0,6,1,0,7,0,40
Shell Oman Marketing Company SAOG,0.001990096912048677,5034,12,49,0,3,3,0,17,0,58
SK Innovation Co Ltd,0.0018961034331849466,8498,13,14,0,6,4,0,38,0,93
Petrolina (Holdings) Public Ltd,0.0018742524904698354,2836,8,4,0,2,10,0,11,0,19
Susco PCL,0.0018476277533665125,2716,8,5,0,1,8,0,7,0,23
"Kukdong Oil & Chemicals Co., Ltd.",0.0018285699599098785,2256,9,3,0,0,14,0,24,0,94
Esso (Thailand) PCL,0.0016984386675386808,6301,12,25,0,3,5,0,16,0,57
ELINOIL Hellenic Petroleum Company S.A.,0.0016801268170690965,6197,8,10,0,4,12,0,35,0,111
The Bangchak Petroleum Public Co. Ltd.,0.0014900779266329607,3585,8,18,0,1,8,0,6,0,48
Tianjin Sure Energy Lubrctn Tech Co Ltd,0.001423647765121856,2744,4,0,0,3,3,0,3,0,15
Itochu Enex Co Ltd,0.0014217351158855502,5065,12,63,0,2,13,0,3,0,38
Cosan SA Industria e Comercio,0.0013746643645140893,4535,9,13,0,2,6,0,16,0,22
Sea Oil PCL,0.0013452915648919643,2927,8,2,0,2,5,0,16,0,99
BP plc,0.0013273139280515506,18586,8,76,0,8,8,0,14,0,447
Qatar Fuel QSC,0.0012393261783287593,7071,13,42,0,2,12,0,15,0,63
IRPC Public Company Limited,0.0012241384492201357,6416,9,20,0,2,17,0,5,0,59
"Hankook Shell Oil Co., Ltd",0.0011410586289623279,3869,9,7,0,1,4,0,14,0,104
Ina dd,0.00110940269213018,3915,7,15,0,1,3,0,20,0,81
Cosan Limited,0.0010739756797642878,2942,8,4,0,0,6,0,26,0,9
Ha Tay Petrolimex Transport & Ser,0.0009750117554579072,4613,7,14,0,2,4,0,2,0,28
Valero Energy Corporation,0.0008848678207147857,11739,11,84,0,3,4,0,3,0,100
Ultrapar Participacoes SA (ADR),0.000866492393755687,3695,5,24,0,1,3,0,2,0,13
Empresas Copec SA,0.0008563595571997509,5995,7,18,0,1,7,0,6,0,24
Motor Oil (Hellas) Corinth Refineries SA,0.0008324084496841861,3493,10,8,0,0,9,0,10,0,104
Oman Oil Marketing Company SAOG,0.000799249810548551,5311,12,50,0,1,2,0,28,0,174
Aegean Marine Petroleum Network Inc.,0.0007773825684091387,5218,9,4,0,2,0,0,29,0,33
Vung Ang Petroleum Joint Stock Company,0.0007413713982710239,7237,9,19,0,3,0,0,1,0,45
HollyFrontier Corp,0.0007156442408707047,1890,12,19,0,0,2,0,26,0,40
"Calumet Specialty Products Partners, L.P",0.000648734048410745,5429,10,26,0,0,9,0,28,0,99
GOCL Corp Ltd,0.0006262576483588685,4918,9,15,0,0,10,0,4,0,26
Petrolimex Hanoi Trans & Trading JSC,0.0005973885258153645,5214,6,14,0,2,0,0,1,0,10
Saigon Fuel JSC,0.0005934151986319102,4239,8,17,0,1,2,0,7,0,33
Hascol Petroleum Ltd,0.0005855247122274955,2948,6,2,0,0,5,0,15,0,25
Cmistone Viet Nam JSC,0.0005595106067548773,2685,7,15,0,1,1,0,0,0,15
Aldrees Petroleum &Transport Services,0.0005374084434668267,4425,11,39,0,2,1,0,2,0,35
Puma Energy Zambia PLC,0.0005288886410462016,5428,11,9,0,0,3,0,30,0,54
Revoil S.A.,0.00046467140334599094,3736,8,10,0,0,4,0,5,0,116
Cosan Limited(USA),0.00044627485326976895,3705,5,8,0,0,3,0,14,0,11
BP plc (ADR),0.00039324472500161913,8979,9,40,0,1,2,0,6,0,159
Antarchile SA,0.00038003432982723824,7622,8,20,0,0,16,0,7,0,5
Vivo Energy Cote d'Ivoire SA,0.00037242245851323695,5311,10,61,0,1,1,0,12,0,9
Neftemarket OAO,0.00037052940825590063,3743,8,11,0,0,4,0,3,0,49
Materials Petroleum JSC,0.00035680768355221125,2665,7,8,0,0,5,0,2,0,34
Petrolimex Saigon Trans and Service JSC,0.0003551946135780621,6006,7,15,0,1,1,0,1,0,12
Martin Midstream Partners L.P.,0.0002894238980559094,8283,9,21,0,0,5,0,18,0,12
"FUJI KOSAN COMPANY, LTD.",0.00027689253577323713,3436,9,7,0,0,2,0,8,0,46
BROAD GATE SA,0.00023687842537881672,6840,12,10,0,0,5,0,1,0,28
SK Networks Co Ltd,0.00021000408006352687,4411,7,20,0,0,3,0,6,0,26
Esso Societe Anonyme Francaise,0.00020635640816928606,3443,7,6,0,0,0,0,10,0,28
Total Maroc SA,0.00020583791389602486,4223,8,11,0,0,1,0,8,0,54
Compania Logistica de Hidrocarbrs CLH SA,0.0001771190927151882,7690,16,85,0,0,1,0,6,0,124
Naftopererobnyi Kompleks - Halychyna VAT,0.00015699104573718334,7649,5,7,0,1,0,0,0,0,11
NNK - Khabarovsknefteprodukt AO,0.0001463321280922605,6030,7,19,0,0,2,0,4,0,23
Meghna Petroleum Ltd,0.0001360903405286542,3804,13,23,0,0,0,0,7,0,67
Joong Ang Enervis Co Ltd,9.445576224054346e-05,3259,7,6,0,0,1,0,1,0,41
Sinopec Shandong Taishan Petrolum Co Ltd,9.140767903960997e-05,2100,7,3,0,0,1,0,0,0,28
Kontsern Halnaftohaz PAT,8.307108964928771e-05,3115,5,6,0,0,1,0,2,0,13
Terminali a.d. Doboj,3.945628406548655e-05,26169,2,38,0,2,0,0,0,0,1
