name,score,document_length,url_count,consult,customer service,marketing service
"MOSHI MOSHI HOTLINE, INC.",0.38372236722159847,6337,13,15,5,16
Alliance Data Systems Corporation,0.37839120017463074,5711,12,8,2,26
Scicom MSC Bhd,0.3453614947153478,5052,12,5,26,0
"PFSweb, Inc.",0.27769175075795977,9030,13,16,19,3
Chime Communications plc,0.2731858216811152,2575,7,11,0,11
Orbis AG,0.21928159141732106,3388,9,47,13,0
SPAR Group Inc,0.20491028668803635,4706,12,0,2,26
Sitel Worldwide Corp,0.18457473463923282,5099,11,13,5,4
One to One Contacts PCL,0.17156214369290806,2761,10,4,8,0
Omnicom Group Inc.,0.15107795406384636,12076,18,10,4,9
Spearhead Integrated Marketing Commtn Gp,0.14705733765866286,3710,8,5,0,8
Interpublic Group of Companies Inc,0.14404257865542913,6744,9,6,0,14
Asia Pacific Digital Ltd,0.14192725061949654,3651,6,6,1,4
Genpact Limited,0.13383729127144628,5944,13,17,12,0
Transcosmos Inc,0.11654475621925377,4271,13,4,2,6
DLE Inc,0.09811326382287983,4377,13,0,7,1
"AUN CONSULTING, Inc.",0.09582343512943661,3382,7,83,0,4
CCR Logistics Systems AG,0.08712478863714224,3243,8,7,0,4
Vector Inc,0.08490951667438291,2817,10,7,4,0
Advance Information Marketing Berhad,0.08410876220839264,3694,7,7,0,4
Adcorp Australia Ltd,0.08128187587557598,4063,12,4,0,4
"PDI, Inc.",0.0767328798046566,19304,16,6,16,2
Full Speed Inc.,0.07437473664741748,3405,7,8,0,3
"The Hackett Group, Inc.",0.07339044662032931,6450,10,78,4,1
Mattersight Corp,0.0729278537471544,5419,10,15,5,0
American Business Services Inc,0.07286095686858297,2976,7,3,4,0
NAHL Group PLC,0.07174897422197396,3493,9,0,0,6
"ValueCommerce Co., Ltd.",0.07138993635568779,4427,11,9,2,4
MDC Partners Inc,0.06964278320601276,10362,17,11,0,9
OUTSOURCING Inc.,0.06942245678431715,9475,9,16,7,0
UBM Plc,0.06738037436336984,4805,7,0,0,8
MaKheiA Group SA,0.06629942643170053,3645,8,4,0,3
Branding China Group Ltd,0.061210631547256644,7597,12,6,0,5
Jsti Group,0.05670623181203984,8064,9,22,6,0
FullSix SpA,0.05636591254123845,3167,11,2,0,4
KTCS Corp,0.054204218539443655,3681,9,13,3,0
ECS Engineering Consulting Services Inc,0.0531913733031492,6775,13,141,5,0
Eckoh PLC,0.05145934353815414,6324,11,2,10,0
QuinStreet Inc,0.05078187797659349,7235,11,0,9,2
Mobile Network Group SA,0.04831122603852889,10039,10,3,4,1
Integer.pl SA,0.04808432662133793,4192,12,0,6,0
Prochem SA,0.04588487688669347,2785,9,4,1,1
GAP Vassilopoulos Public Ltd,0.04512393353425555,4394,12,3,0,3
RXP Services Ltd,0.04368759007118235,4544,11,36,3,0
Vantiv Inc,0.043607139121314885,5362,14,2,9,0
AF AB,0.04245813262972782,1155,6,10,1,0
Weborama SA,0.039526040702565456,5588,13,6,0,3
plenum AG,0.03866806456567104,6112,12,20,3,0
DMG Entertainment and Media Co Ltd,0.03808253185330377,5266,13,0,0,5
Trenders Inc,0.036760338190992774,7843,11,7,0,3
Acando AB,0.03498447622387671,2204,8,34,2,0
Dovre Group Oyj,0.03322994245221535,17129,8,238,3,0
Coffey International Limited,0.031928870649622,5017,7,18,1,1
"AJIS CO., LTD.",0.03186082550289511,4486,9,1,3,0
Accenture Plc,0.0317000042185308,15996,10,164,3,1
Porta Communications PLC,0.03147644561518074,20125,11,18,1,5
Serma Technologies SA,0.030713903519039458,4745,13,23,1,1
Goldbach Group AG,0.030288782026498373,2849,7,4,0,2
Guru Online Holdings Ltd,0.02990355982035599,6416,11,4,0,4
Global Market Group Ltd,0.028927921434078414,17294,13,10,1,4
Prestige International Inc.,0.02844305987242612,4299,11,0,4,0
Bureau Vrts Rg Int d Clf d Nvr et d Ar,0.026972163718430652,90884,6,195,13,1
EPCO Co Ltd,0.026844031430499113,2684,9,9,2,0
High Co SA,0.026813135367031348,3600,8,3,0,2
EFactor Group Corp,0.02658001908804748,5972,9,8,1,1
Hopscotch Groupe SA,0.025426818840152094,5105,8,2,0,3
Youji Corporation,0.024227033279392764,2484,9,5,2,0
Bengo4.com Inc,0.023757035352441506,2715,11,6,0,1
TSS Inc,0.02309723965389477,4117,13,0,3,0
CH2M HILL Companies Ltd,0.021015995378207884,9379,13,34,2,1
Dentsu Inc,0.020947939407071126,12943,15,20,0,4
Inly Media Co Ltd,0.020180513533050556,4085,9,5,0,2
Fuchun Communications Co Ltd,0.02003166182126421,3504,8,6,2,0
Eficom-Sinersio SA,0.019920894645404034,4344,9,36,1,0
LogiCamms Limited,0.019294045208125103,2486,8,12,1,0
SUNNY SIDE UP Inc.,0.018688542680539957,2927,10,6,0,1
ICF International Inc,0.016738564037674642,4566,10,39,0,1
IB Worldwide Inc,0.016664394113726874,10525,15,4,4,0
Imperium Crown Ltd,0.01645395627409681,3313,11,23,1,0
"ExlService Holdings, Inc.",0.016177306013875813,4361,10,11,2,0
DGA SA,0.015913023379486118,4939,8,11,2,0
Towers Watson & Co,0.01478093794206573,4788,8,32,2,0
Huron Consulting Group,0.014268096613785624,9418,14,375,2,0
VSE Corporation,0.01425922980212103,3609,10,15,1,0
CoStar Group Inc,0.013464947365452524,4687,13,1,1,2
Jaywing PLC,0.013453496182671493,2964,9,1,0,1
One-2-One SA,0.012795710386033771,6621,7,1,2,2
M&C Saatchi Plc,0.012673507079763233,2604,9,1,0,1
Chinanet Online Holdings Inc,0.01210386837991973,4384,9,4,0,1
Beijing Biotechina Environment Corp Ltd,0.01122260727140426,2182,6,1,1,0
Lycopodium Limited,0.01068063564410547,5735,11,12,1,0
Etteplan Oyj,0.009259756431680583,4512,13,4,1,0
Multiconsult ASA,0.009249286954235048,3102,10,95,0,0
"FTI Consulting, Inc.",0.008982445411241385,3876,10,148,0,0
Gannett Co Inc,0.00879486805897261,5887,10,0,2,1
MITCON Consultancy & Engineering Svs Ltd,0.008723556865147142,8326,11,264,0,0
Amaru Inc.,0.008669042058457583,7453,10,4,1,0
Hyosung ITX Co Ltd,0.008550997134522346,3895,8,1,1,0
CCID Consulting Company Limited,0.007568438017788271,1635,6,53,0,0
Safco Investment Holding Corp,0.007380285588440336,21073,9,195,0,2
Booz Allen Hamilton Holding Corporation,0.007086442341287634,21036,19,189,1,0
Unipart Group Of Companies Ltd,0.007035751133207614,6259,12,19,1,0
"TANABE MANAGEMENT CONSULTING CO., LTD.",0.006823700768264312,2633,7,76,0,0
Management Consulting Group PLC,0.006786690897710644,4621,8,104,0,0
Penna Consulting plc,0.006545668313882903,4967,9,111,0,0
Vendator AB,0.006171513318566148,2642,7,2,1,0
Yamada Consulting Group Co Ltd,0.0060668471233767075,4072,9,84,0,0
Fidelity National Information Services,0.005974668310018745,9446,8,24,1,0
Mastercard Inc,0.00587755008647681,8507,14,2,2,1
Power Engineering Consulting JSC 2,0.005760035229433892,2575,8,70,0,0
"KYOWA ENGINEERING CONSULTANTS CO., LTD.",0.005559266338319792,3872,9,71,0,0
EFESO Consulting,0.004630492882721861,923,2,19,0,0
"FUKUYAMA CONSULTANTS CO., LTD.",0.004468270548831802,1467,9,26,0,0
Zalaris ASA,0.004229458572443868,2755,11,46,0,0
"CBIZ, Inc.",0.0039889304056270215,8400,12,111,0,0
Funai Soken Holdings Inc,0.0035435118609166987,3670,8,41,0,0
Power Engineering Consulting JSC 3,0.003482595927558804,4255,10,53,0,0
MCT Danismanlik AS,0.0031580724175961743,1865,6,20,0,0
Power Engineering Consulting JSC 1,0.003095863140287057,3502,8,40,0,0
Oricom Inc,0.003072653691798967,7539,15,1,1,0
"Exponent, Inc.",0.00283899668264395,5714,14,45,0,0
Altran Technologies SA,0.0026723239619218797,7599,13,66,0,0
Morneau Shepell Inc,0.002611187674687246,5852,9,63,0,0
Soellingen Advisory Group Inc,0.0025902907676301793,3124,7,27,0,0
Song Da Consulting JSC,0.0023845972949039828,4669,9,38,0,0
Petrovietnam Power Engineering Con JSC,0.0023578621462930307,5775,10,46,0,0
"Navigant Consulting, Inc.",0.0023289279245122976,3257,8,28,0,0
"Nippon Koei Co., Ltd.",0.0023201359573648815,4468,14,32,0,0
"Information Services Group, Inc.",0.0023190766628997986,5106,9,37,0,0
Hill International Inc,0.002233158590667324,16670,11,55,0,1
Itera ASA,0.0021637498803149416,3357,6,27,0,0
Gexeed Co Ltd,0.002088125685029066,4337,10,26,0,0
NV5 Holdings Inc,0.002050813047299215,6879,11,42,0,0
Brooker Group PCL,0.0020325907656375533,4358,9,35,0,0
Poyry PLC,0.002007398917651542,5262,12,58,0,0
GR Engineering Services Ltd,0.001747094860359001,3134,12,21,0,0
WS Atkins PLC,0.0015864606108050776,5083,9,24,0,0
"CTI Engineering Co., Ltd.",0.001579154336764198,4658,9,22,0,0
Sigmaxyz Inc,0.00156790063167039,3455,8,17,0,0
Wuhan United-Power Dsgn & Eng Co,0.0015538779492043915,3021,8,19,0,0
Norcon Plc.,0.0014298282068382143,3154,7,16,0,0
Workforce Holdings Limited,0.001364822709680779,2755,11,14,0,0
Press Ganey Holdings Inc,0.0013439438827137712,5448,13,24,0,0
Tefen Industrial Eng. Mgt.&Sys. Analysis,0.0013390582295864345,3921,9,18,0,0
GP Strategies Corp,0.0013031620669891103,6348,10,29,0,0
IR Japan Holdings Ltd,0.0012554240074839028,3224,9,14,0,0
Begbies Traynor Group plc,0.0012470960961814017,4511,7,21,0,0
Worleyparsons Limited,0.0012071790560512269,8053,10,27,0,0
Zhi Cheng Holdings Ltd,0.0012053478174142587,4031,7,15,0,0
Ricardo plc,0.0011324378468133038,9154,8,24,0,0
AVIC International Maritime Holdings Ltd,0.00102821656690906,4755,12,18,0,0
"Willdan Group, Inc.",0.001022644963622713,7010,8,23,0,0
Visibilia Editore SpA,0.0009998613795010017,2109,8,7,0,0
SilverSun Technologies Inc,0.0009742834323544779,5153,8,15,0,0
Primeserv Group Limited,0.0009724606246337074,4170,13,15,0,0
Tianjin Tenio Archtr and Eng Co Ltd,0.000947388559051592,4992,9,13,0,0
MVV Holding publ AB,0.0009373600652693749,33147,10,12,1,0
Global Equity International Inc,0.0009306918307201408,3761,8,11,0,0
Mirae ING Co Ltd,0.0009170916901633097,1975,9,7,0,0
CN Dragon Corp.,0.0009164533236127309,4294,10,12,0,0
Sondotecnica Engenharia De Solos SA,0.0008690684151428737,3275,11,14,0,0
Assystem SA,0.0008391106701479292,4205,8,13,0,0
Shanghai Yanhua Smartech Group Co Ltd,0.0008212514329820833,2256,8,7,0,0
Cardno Limited,0.0007877736696639715,3353,12,8,0,0
Wison Engineering Services Co Ltd,0.0007474220872660406,6296,12,19,0,0
Institut Igh dd,0.0007439287647136031,2449,9,7,0,0
Engility Holdings Inc,0.0007003637390520505,5668,13,12,0,0
"KYODO PUBLIC RELATIONS CO.,LTD.",0.000692555994839118,3406,11,8,0,0
Fasteps Co Ltd,0.0006541723050943134,4336,12,9,0,0
Calibre Group Ltd,0.0005878204803282216,5013,12,10,0,0
LCA Holdings Corp,0.0005231922628698697,2146,6,4,0,0
"OmniComm Systems, Inc.",0.0005123658456742666,5856,10,11,0,0
A.L.D. Advanced Logistics Developments,0.0004707320443681523,4701,11,8,0,0
Lightbridge Corp,0.0004654397389831535,5749,9,10,0,0
"TANSEISHA CO., LTD.",0.00045033774580762695,1956,8,3,0,0
Edu Fin Inv JSC,0.0004325532805256803,5265,8,7,0,0
AG dd,0.0004231607650978242,5320,6,5,0,0
Wise Group AB,0.0004205804097371094,3857,7,6,0,0
TriNet Group Inc,0.00041853850752235735,5128,9,8,0,0
Maruwa Unyu Kikan Co Ltd,0.0004167782509213922,5508,11,8,0,0
"Resources Connection, Inc.",0.00040293936487648585,29810,15,61,0,0
Energy Action Ltd,0.0003998655295079449,3882,12,6,0,0
Dalian East New Energy Developmnt Co Ltd,0.00038336376813361917,4482,8,6,0,0
Three Sixty Five PCL,0.00036034472323334747,3318,9,4,0,0
United Integrated Services Co Ltd,0.00035033192389702296,2382,8,3,0,0
Ecosave Holdings Ltd,0.00033684953805639036,5676,12,7,0,0
Zico Holdings Inc,0.00032409575043501246,4197,13,5,0,0
Borneo Industrial Fishery Corp Inc,0.00029568763217505665,12855,10,8,0,0
Publicis Groupe SA (ADR),0.00025079820544033965,5948,9,5,0,0
Shanghai Liketry Internt Inf Tech Co Ltd,0.00020966301194962688,3945,7,3,0,0
JGC Corp,0.0002090126938480465,4011,9,3,0,0
Yatai Duhui Beijing Urban P & B GDRI,0.00014612403282394514,12249,6,19,0,0
Cimic Group Ltd,8.553560897228502e-05,7921,12,3,0,0
Florida Investments SA,7.148975957589832e-05,2088,8,1,0,0
Nordkom AB,6.004163107858376e-05,2801,7,1,0,0
Soprano Oyj,5.3422029265202435e-05,2362,6,1,0,0
Beijing SPC Environment Prtcn Tech CoLtd,5.051763527676935e-05,2487,8,1,0,0
Beijing Guchngrt Sci and Tech Co Ltd,4.997386180998851e-05,2285,6,1,0,0
Harrison Vickers and Waterman Inc,3.859380106970667e-05,4094,9,1,0,0
