name,score,document_length,url_count,communication,component,distributor,wireless
Laird PLC,0.43774176936166365,10892,12,43,24,0,149
Alltek Technology Corp.,0.39006847542695733,2789,9,30,28,4,22
"TESSCO Technologies, Inc.",0.3576171083201632,2530,10,16,2,2,48
Promaster Technology Corp.,0.28290074799219594,2741,16,16,6,13,15
Powermatic Data Systems Ltd.,0.25650255972953695,2149,7,6,2,0,33
WPG Holdings Limited,0.218480333301738,3147,9,7,25,13,9
NICHIDENBO CORPORATION,0.21460838215783545,2605,13,1,5,0,19
InfoSonics Corporation,0.19951370112098488,4506,11,9,2,13,23
TeleChoice International Ltd.,0.17681548753353774,2628,11,49,1,7,9
Petrosetco Distribution Joint Stock Co,0.15330755185402786,2426,9,4,3,26,1
VOXX International Corp,0.13323305346897982,4171,9,13,1,5,12
Electrocomponents plc,0.11452055373259652,6385,11,1,147,58,0
Premier Farnell plc,0.10213007057695943,4470,13,3,19,23,1
S.A.S. Dragon Holdings Limited,0.10206820568420447,5181,9,14,24,20,3
Graybar Electric Co Inc,0.10042976125673239,6432,12,44,6,11,9
Wuhan P&S Information Technology Co Ltd,0.09971160155681708,2864,7,11,38,6,3
Shanghai Fortune Techgroup Share Co Ltd,0.08899449505482472,4039,10,11,4,3,7
Solomon Technology Corporation,0.08456659417126192,3664,13,3,12,6,4
Ambertech Limited,0.08278604351970857,4708,12,3,8,4,7
Chander Electronics Corp.,0.07441719389030363,3272,9,4,16,4,3
LITE-ON JAPAN LTD.,0.07364450621540104,4105,13,8,12,10,3
Aerospace Communications Holdings Co Ltd,0.06706271477331123,2947,8,79,1,1,4
Synnex Technology International Corp,0.06258801538195316,3593,10,11,18,12,2
ABC Data SA,0.06128421255172075,4245,12,4,5,28,0
Ingram Micro Inc.,0.06023892159384536,5744,13,3,3,1,9
Planet Communications Asia PCL,0.05969891872972109,1506,8,47,1,0,3
Promate Electronic Co Ltd,0.057649513524825585,2591,9,6,13,2,3
ASEC International Corporation,0.05764708947296426,2384,7,3,8,4,2
KANADEN CORPORATION,0.0569273120441116,2535,7,11,5,4,2
Surge Components Inc,0.0530134381902132,2924,12,2,119,12,0
Digiworld Corp,0.05284504105006727,3735,9,5,1,16,0
"Medifron DBT Co., Ltd.",0.052763968822434594,3348,12,8,0,0,8
"Avnet, Inc.",0.05057832758766579,1671,12,0,15,12,0
Taitron Components Inc.,0.05050964669345106,1376,11,0,65,8,0
Rexel SA,0.050326966812514674,3827,9,10,6,13,0
"ScanSource, Inc.",0.04874253749594242,3625,11,76,1,13,2
Zenitron Corp,0.04542325716877958,1040,7,3,5,2,2
Acal plc,0.04446819284063445,3965,9,13,16,2,3
Ban Leong Technologies  Ltd,0.043807798393970705,2045,14,0,0,3,4
Hanchang Corporation,0.04341332451439922,3281,10,4,0,1,5
EACO Corp,0.04195740043320612,3944,9,8,24,10,0
The International Engineering PCL,0.03782052072873813,2550,8,12,1,6,1
Communication & System Solution PCL,0.037483612132552774,1877,7,37,4,3,0
"WESCO International, Inc.",0.03636535025478858,10312,13,54,10,18,0
NTT System SA,0.035928824410484846,4971,14,1,10,11,1
Edom Technology Co Ltd,0.03420925832790696,2787,6,2,19,0,4
Uniquest Corporation,0.03181913124946517,2155,10,3,3,1,2
"V-Tac Technology Co., Ltd.",0.031606276974106805,3733,9,6,3,3,2
SUNNIC Technology & Merchandise Inc.,0.030587017507659766,3835,10,9,16,7,0
Simat Technologies PCL,0.030238636171268655,4123,12,1,2,0,8
Willas-Array Electronics (Holdings) Ltd,0.029858029909042932,1823,7,3,12,0,2
Namsung Corp,0.02928837142454231,2505,7,4,0,0,3
Interlink Communication (Thailand) PCL,0.028565423721297622,2833,12,46,2,6,0
TE Connectivity Ltd,0.028471378732324432,6670,12,13,37,7,1
mDR Ltd,0.02844035794853722,3285,9,15,2,0,4
Genuine C&C Inc,0.02720333149213812,2445,13,2,5,4,1
Choo Chiang Holdings Ltd,0.025330954952135172,3913,12,1,5,6,1
"Ryosan Company, Limited",0.02501685996337292,2131,12,0,31,5,0
Tech Data Corp,0.0249626579803313,6968,14,9,14,9,2
"MAXTEK TECHNOLOGY CO., LTD.",0.024890089531867367,2064,8,4,4,0,2
Koryo Electronics Co Ltd,0.024050975879896054,3229,9,2,25,3,1
Fujii Sangyo Corporation,0.023573145275043495,6096,17,4,12,8,0
Yleiselektroniikka Oyj,0.02339416021514239,3564,9,3,22,0,2
Galaxy Far East Corp,0.023244518800621092,3120,9,11,5,4,0
"Hunan Copote Science & Tech Co., Ltd.",0.02295844371548244,3861,8,7,0,0,4
SUZUDEN CORPORATION,0.02264847597110806,2296,9,7,7,3,0
Xander International Corp.,0.022610410613314015,3418,13,4,4,1,2
OEM International AB,0.021305636554128173,4464,8,3,39,5,0
AIKO CORPORATION,0.021014062924860757,3008,9,4,9,1,1
"SANSHIN ELECTRONICS CO., LTD.",0.020796037968672684,2219,9,2,11,1,2
MetaTech (AP) Inc.,0.02012581232373571,3718,8,5,15,3,0
W W Grainger Inc,0.02011587987647365,6878,13,1,3,13,0
Ralco Agencies Ltd.,0.019666990111803926,3963,10,3,1,7,0
Unitron Tech Co Ltd,0.019571368047786045,2052,10,2,17,4,0
Excel Co Ltd,0.019391150844775676,2920,12,1,8,5,0
"Agilysys, Inc.",0.019242102837645457,5008,11,1,1,0,4
"ZHONGYEDA ELECTRIC CO.,LTD.",0.018954995866384872,2878,8,1,5,6,0
BOS Better OnLine Sol (USA),0.01894301539901504,2981,8,10,11,0,2
Serial System Ltd,0.01878148047500657,3506,11,8,12,2,2
Shinden Hightex Corp,0.01848318151722363,1352,10,1,7,0,2
Sandmartin International Holdings Ltd.,0.01842699782226878,3784,12,14,6,1,1
Dionic S.A.,0.018422406700457073,5263,10,9,0,2,4
Softlogic Holdings Pvt Ltd,0.018406981496559276,14076,14,27,1,14,1
NICHING INDUSTRIAL CORPORATION,0.016859265393926945,799,10,0,4,0,2
"TAKACHIHO KOHEKI CO., LTD.",0.016580733836529957,3166,11,4,8,1,1
HD Supply Holdings Inc,0.016542919180209933,4905,13,1,1,10,0
Weikeng Industrial Co. Ltd,0.015471576892764006,2119,8,3,9,0,1
KUEN CHAANG UPPERTECH CORP.,0.014961850208981877,5454,8,4,27,1,1
Conexio Corp,0.014664142354539493,2850,8,7,3,0,2
SEIRYO ELECTRIC CORPORATION,0.014608271584373155,2956,9,21,0,1,1
Logicom Public Ltd,0.014568751413256833,4652,11,11,6,4,0
EnerSys,0.013922972547626386,3819,10,8,3,1,2
TOMEN DEVICES CORPORATION,0.011940589970857878,1930,8,5,2,3,0
"Answer Technology Co., Ltd.",0.01176479255687004,2789,12,0,0,0,3
Tatung System Technologies Inc.,0.01173409517512773,7689,13,48,0,0,3
Salora International Ltd,0.011082068893555246,3461,9,1,3,3,0
Synnex (Thailand) Public Company Limited,0.010587399765969086,2793,9,7,6,0,1
Indeks Bilgisayar Sistemleri Muhendislik,0.009869682151682647,3032,9,7,2,3,0
"FUSO DENTSU CO., LTD.",0.009396879901046007,3305,8,12,1,0,1
Esprinet SpA,0.009020205336147625,5165,10,2,5,5,0
Ace Pillar Co Ltd,0.008893155482910108,3028,9,0,5,2,1
Ideiasnet SA,0.00886174038247472,1956,6,8,2,0,1
Futong Technology Development Hldgs Ltd,0.008796673390993767,3737,9,3,1,3,0
Malmbergs Elektriska AB,0.008668844124855593,2951,9,1,17,1,0
LG International Corp,0.008456042143811385,3640,9,11,2,1,1
Unitech Computer Co Ltd,0.00819620993233148,3125,9,1,4,0,1
Daetwyler Holding AG,0.00810966475660196,3554,8,2,39,2,0
Sentronic International Corp,0.008098512373157202,4176,9,8,18,1,0
Electronics Communctns Tech Inv Dev Corp,0.00809494437796994,3035,5,41,0,0,1
Datagate Bilgisayar Malzemeleri Ticrt AS,0.008051285158603276,3546,9,0,1,6,0
Brimag Digital Age Ltd.,0.007828618499418736,2601,8,1,0,3,0
Computer Warehouse Group PLC,0.007540118796920672,3532,8,29,0,0,1
GRODNO SA,0.006927846070144179,4935,11,1,1,3,0
Mystic Electronics Ltd,0.006852785619844369,4845,10,3,2,2,1
MARUBUN CORPORATION,0.006468677798149771,2555,8,4,18,0,0
"DENKYOSHA CO., LTD.",0.006456500690930451,2581,13,4,4,1,0
Podak Co Ltd,0.006136697191137723,2603,9,1,16,1,0
TAKEBISHI CORPORATION,0.005613992041224326,2454,10,15,6,0,0
"Howteh Technology Co., Ltd.",0.005304239863175151,2347,9,6,12,0,0
"Fujian Furi Electronics Co., Ltd.",0.00517408344080993,3011,8,5,3,1,0
Kingpak Technology Inc,0.004960627896539996,3519,13,0,1,3,0
"WT Microelectronics Co., Ltd.",0.004951438291023633,2104,12,6,11,0,0
"Shenzhen Aisidi Co., LTD.",0.0048324409246951056,2082,8,5,1,1,0
"Techno Alpha Co., Ltd.",0.004789181083848717,3296,10,1,3,2,0
Pierides Holdings Plc,0.00453978386820033,4183,10,2,18,2,0
AB SA,0.004467313457131908,5666,8,3,2,3,0
Ferrum PCL,0.004015108517486057,2574,8,4,0,2,0
Sakae Electronics Corporation,0.003998638687596616,3173,15,2,29,0,0
Elematec Corporation,0.0037177692146880374,2671,11,0,9,1,0
"HAGIWARA ELECTRIC CO., LTD.",0.0036498514395900076,2879,11,4,13,0,0
Mobicon Group Limited,0.003643521637409262,4637,12,2,24,2,0
FAST TECHNOLOGIES INC.,0.0034927860015448314,5617,13,0,26,2,0
TAIWAN OSTOR CORP.,0.003233272856574967,3064,10,2,20,0,0
Merdeka Financial Services Group Ltd,0.002891849469882152,3677,9,0,8,2,0
"NADEX CO., LTD.",0.002848794763387307,2301,10,4,5,0,0
Samart I-Mobile PCL,0.0024503895890282137,3001,8,18,1,0,0
"SENSHU ELECTRIC CO., LTD.",0.002361565601750025,3401,11,9,4,0,0
Arena Bilgisayar Sanayi ve Ticaret AS,0.002243720049621758,3341,7,7,4,0,0
Shenzhen Huakong Seg Co Ltd,0.002178551125924637,2896,7,3,5,0,0
Crown Tech Advance PCL,0.0021747699877670465,1521,9,0,1,2,0
NJ Holdings Inc,0.0019250415469639769,2710,8,17,2,0,0
Professional Computer Technology Ltd,0.0019169014647782974,2776,11,1,9,0,0
"Fuhrmeister Electronics Co.,Ltd.",0.001771027480242327,2434,12,0,15,0,0
Changhong Jiahua Holdings Ltd,0.0017708434420575004,5894,11,12,5,0,0
Vitec Holdings Co Ltd,0.0016104663300907534,2363,9,0,12,0,0
MANSEI CORPORATION,0.0013244435062034442,5696,9,7,3,0,0
"Gohigh Data Networks Technology Co., Ltd",0.001215784543168867,1838,6,10,0,0,0
Zheda Lande Scitech Limited,0.0011948002509404104,3431,6,14,0,0,0
NIPPO LTD.,0.0011772206332669234,2167,9,0,6,0,0
Armada Blgsyr Stmlr Sny ve Tcrt AS,0.0011500802602912447,4914,9,4,3,0,0
BEP International Holdings Ltd,0.0010740553712258898,4698,12,0,1,1,0
First America Resources Corp,0.0009497928226368823,2941,8,1,4,0,0
Naigai Tec Corporation,0.0009454015420213219,3260,9,0,8,0,0
Dragon Group International Limited,0.0009148196596140167,3396,11,0,8,0,0
"Trust-Search Corp.,Ltd.",0.0008652443327955316,4473,9,1,7,0,0
Perfect Optronics Ltd,0.0007328543557083079,3579,9,0,7,0,0
Solar A/S,0.0006121730815448526,2358,9,2,3,0,0
Innovative Technology Development Corp,0.0005706450172536202,5159,10,8,0,0,0
"Shanghai East-China Computer Co., Ltd.",0.0005135034349636381,3070,9,5,0,0,0
Xtek Ltd,0.000512224156644804,4823,12,1,3,0,0
Tesson Holdings Ltd,0.0004934185378221078,3702,9,2,3,0,0
"Sysage Technology Co., Ltd",0.00047823344127808135,2640,11,4,0,0,0
PCS Technology Ltd,0.0003754097786194549,5022,12,5,0,0,0
"TANAKA CO., LTD.",0.0003635212827774732,3488,9,3,2,0,0
Jiangsu Nandasoft Technology Co Ltd,4.4963674743052694e-05,2848,9,1,0,0,0
Huiyin Smart Community Co Ltd,4.171925424123569e-05,4524,9,1,0,0,0
